sku,categoria,nombre,descripcion,material,terminacion,dimensiones,potencia,tono_luz,tension_v,encendido,apto_dinamico,ubicacion,marca,proveedor,precio_ars
ENT-001,LÁMPARAS DE PIE,HIGH WOOD,Lámpara de pie dimerizable · comandada a control remoto o app.,Aluminio - madera,Gris · Negro · Base melamina: · Negro · Claro,150 x 30 cm,60W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Control remoto RF o app,Sí,Interior,Enertech,MAZ Iluminación,
ENT-002,LÁMPARAS DE PIE,WOOD,28 cm · Lámpara de pie dimerizable · comandada a control remoto o app.,Aluminio - madera,Gris · Negro,125 cm x 28 cm,60W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Control remoto RF o app,Sí,Interior,Enertech,MAZ Iluminación,
ENT-003,LÁMPARAS DE PIE,LIGHT LINE,Lámpara de pie dimerizable · comandada a control remoto o app.,Aluminio,Gris · Negro · Blanco,150 cm (Alto),27W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Control remoto RF o app,,Interior,Enertech,MAZ Iluminación,
ENT-004,LÁMPARAS DE PIE,,Lámpara de pie dimerizable · comandada a control remoto o app.,Aluminio - acero inox.,Aluminio anodizado · Gris · Negro,Apto Sistema Dinámico · 150 cm (Alto),55W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Control remoto RF o app,Sí,Interior,Enertech,MAZ Iluminación,
ENT-005,LÁMPARAS DE PIE,INFINIT BLACK,Lámpara de pie dimerizable · comandada a control remoto o app.,Aluminio - acero inox.,Aluminio anodizado · Gris · Negro,Apto Sistema Dinámico · 150 cm (Alto),55W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Control remoto RF o app,Sí,Interior,Enertech,MAZ Iluminación,
ENT-006,LÁMPARAS DE PIE,GAMER PIX,Lámpara de pie pixel led dimerizable · comandada a control remoto o app.,Aluminio,Aluminio anodizado · Gris · Negro,150 cm (Alto),25W,RGB PIXEL,220V,apagado · Control remoto RF o app,,Interior,Enertech,MAZ Iluminación,
ENT-007,LÁMPARA DE PIE,KYRA,Lámpara de pie dimerizable · comandada por control remoto o app.,Aluminio - acero inox,Aluminio anodizado · Gris · Negro,163 cm x 76 cm,38W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,Sí,Interior,Enertech,MAZ Iluminación,
ENT-008,LÁMPARA DE PIE,BUBBLE LAMP,Lámpara de pie dimerizable · comandada por control remoto o app.,Aluminio - madera,Gris · Negro · Base melamina: · Negro · Claro,140 cm (altura total),145W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-009,LÁMPARA DE ESCRITORIO - VELADORES,,Lámpara de diseño para hogares y · oficinas. · Con encendido táctil dimerizable.,Aluminio - acero inox - madera,Gris · Negro,36 x 12 cm,15W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,"apagado · Touch, dimerizable o app",,Interior,Enertech,MAZ Iluminación,
ENT-010,LÁMPARA DE ESCRITORIO - VELADORES,INFINIT DESK,Lámpara de diseño para hogares y · oficinas. · Con encendido táctil dimerizable.,Aluminio - acero inox,Gris · Negro,36 x 12 cm,15W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,"apagado · Touch, dimerizable o app",,Interior,Enertech,MAZ Iluminación,
